"","input.size.1","input.size.2","duration","grid.x","grid.y","block.x","block.y","registers.per.thread","static.smem","device","name","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operation.single_precision_mul.","floating_point_operations.single_precision_fma.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle","gpu_name"
"3",256,0,1.8e-05,15,1,32,1,56,3,9,"lud_perimeter",10,622684,11520,7440,15,33345,20370,6780,2985,720,465,297109,279131,0.036975,0.004836,2.673853,1.726864,0,0,1.726864,5.347706,14.158262,50,100,0.037025,2223,1.490328,3.15708,5.78392,4,2,21405,17265,2880,930,0,3408,943,158.982856,128.233544,6.328119,1.751002,2445,2445,12210,11025,119040,0,3840,57600,0,0,0,3840,1,0,1,26880,65280,0,218160,32160,175200,38160,0.149353,0,0.096363,"Tesla-P100"
"6",256,0,1.6e-05,14,1,32,1,56,3,9,"lud_perimeter",10,625443,10752,6944,14,31122,19012,6328,2786,672,434,259878,262660,0.035043,0.004621,2.485068,1.60494,15.147079,0,1.60494,4.970135,14.158262,50,100,0.118956,2223,4.788152,3.15708,5.78392,4,2,19978,16114,2688,868,8,3312,881,147.757984,119.179705,6.123917,1.628977,2282,2282,11396,10290,111104,0,3584,53760,0,0,0,3584,1,1,1,25088,60928,0,203616,30016,163520,35616,0.138782,0,0.095763,"Tesla-P100"
"9",256,0,1.6e-05,13,1,32,1,56,3,9,"lud_perimeter",10,629241,9984,6448,13,28899,17654,5876,2587,624,403,244350,243157,0.033126,0.004355,2.309856,1.491782,0,0.014807,1.491782,4.619712,14.158262,50,100,0.112416,2223,4.524901,3.15708,5.78392,4,2,18551,14963,2496,806,0,3216,819,137.340177,110.776835,5.952321,1.515843,2119,2119,10582,9555,103168,0,3328,49920,0,0,0,3328,1,1,1,23296,56576,0,189072,27872,151840,33072,0.128091,0,0.090498,"Tesla-P100"
"12",256,0,1.6e-05,12,1,32,1,56,3,9,"lud_perimeter",10,631897,9216,5952,12,26676,16296,5424,2388,576,372,223879,227606,0.031037,0.004138,2.124391,1.372002,0,0.007376,1.372002,4.248781,14.158262,50,100,0.031078,2223,1.250955,3.15708,5.78392,4,2,17124,13812,2304,744,0,3120,757,126.31272,101.882229,5.753558,1.395975,1956,1956,9768,8820,95232,0,3072,46080,0,0,0,3072,1,1,1,21504,52224,0,174528,25728,140160,30528,0.117741,0,0.089763,"Tesla-P100"
"15",256,0,1.6e-05,11,1,32,1,56,3,9,"lud_perimeter",10,653537,8448,5456,11,24453,14938,4972,2189,528,341,209520,218349,0.028046,0.003913,1.927795,1.245034,0,0.014605,1.245034,3.85559,14.158262,50,100,0.028084,2223,1.130423,3.15708,5.78392,4,2,15697,12661,2112,682,0,3024,695,114.623474,92.453832,5.520504,1.268767,1793,1793,8954,8085,87296,0,2816,42240,0,0,0,2816,1,1,1,19712,47872,0,159984,23584,128480,27984,0.104355,0,0.089939,"Tesla-P100"
"18",256,0,1.6e-05,10,1,32,1,56,3,9,"lud_perimeter",10,627190,7680,4960,10,22230,13580,4520,1990,480,310,200338,186342,0.027325,0.003579,1.755552,1.133794,0,0.007315,1.133794,3.511104,14.158262,50,100,0.112177,2223,4.51531,3.15708,5.78392,4,2,14270,11510,1920,620,0,2688,633,104.382191,84.193344,4.915545,1.157567,1630,1630,8140,7350,79360,0,2560,38400,0,0,0,2560,1,1,1,17920,43520,0,145440,21440,116800,25440,0.098854,0,0.090306,"Tesla-P100"
"21",256,0,1.6e-05,9,1,32,1,56,3,9,"lud_perimeter",10,700562,6912,4464,9,20007,12222,4068,1791,432,279,171686,172652,0.022912,0.003089,1.57806,1.019164,0,0.007306,1.019164,3.15612,14.158262,50,100,0.022943,2223,0.923485,3.15708,5.78392,4,2,12843,10359,1728,558,0,2688,571,93.828823,75.681132,4.90952,1.042908,1467,1467,7326,6615,71424,0,2304,34560,0,0,0,2304,1,1,1,16128,39168,0,130896,19296,105120,22896,0.07965,0,0.093939,"Tesla-P100"
"24",256,0,1.6e-05,8,1,32,1,56,3,9,"lud_perimeter",10,650968,6144,3968,8,17784,10864,3616,1592,384,248,155524,156186,0.022033,0.003023,1.388762,0.896909,0,0.007233,0.896909,2.777524,14.158262,50,100,0.022063,2223,0.888059,3.15708,5.78392,4,2,11416,9208,1536,496,0,2496,509,82.573463,66.602702,4.513476,0.920416,1304,1304,6512,5880,63488,0,2048,30720,0,0,0,2048,1,1,1,14336,34816,0,116352,17152,93440,20352,0.076194,0,0.088258,"Tesla-P100"
"27",256,0,1.7e-05,7,1,32,1,56,3,9,"lud_perimeter",10,641883,5376,3472,7,15561,9506,3164,1393,336,217,141863,135222,0.020024,0.002719,1.212445,0.783037,0,0,0.783037,2.424889,14.158262,50,100,0.020051,2223,0.807098,3.15708,5.78392,4,2,9989,8057,1344,434,0,2280,447,72.089938,58.146824,4.113651,0.806492,1141,1141,5698,5145,55552,0,1792,26880,0,0,0,1792,1,0,1,12544,30464,0,101808,15008,81760,17808,0.067614,0,0.088423,"Tesla-P100"
"30",256,0,1.7e-05,6,1,32,1,56,3,9,"lud_perimeter",10,640936,4608,2976,6,13338,8148,2712,1194,288,186,756590,115654,0.017629,0.002388,1.034603,0.668181,0,0,0.668181,2.069207,14.158262,50,100,0.108705,2223,4.375534,3.15708,5.78392,4,2,8562,6906,1152,372,0,2544,385,61.515787,49.617849,4.569498,0.691532,978,978,4884,4410,47616,0,1536,23040,0,0,0,1536,1,0,1,10752,26112,0,87264,12864,70080,15264,0.05804,0,0.087511,"Tesla-P100"
"33",256,0,1.6e-05,5,1,32,1,56,3,9,"lud_perimeter",10,673891,3840,2480,5,11115,6790,2260,995,240,155,102108,102214,0.014322,0.002058,0.861287,0.556248,0,0,0.556248,1.722574,14.158262,50,100,0.014341,2223,0.577241,3.15708,5.78392,4,2,7135,5755,960,310,0,1904,323,51.210686,41.305886,3.416438,0.579574,815,815,4070,3675,39680,0,1280,19200,0,0,0,1280,1,0,1,8960,21760,0,72720,10720,58400,12720,0.046002,0,0.08775,"Tesla-P100"
"36",256,0,1.7e-05,4,1,32,1,56,3,9,"lud_perimeter",10,629893,3072,1984,4,8892,5432,1808,796,192,124,83071,76764,0.012583,0.001697,0.691194,0.446396,0,0,0.446396,1.382387,14.158262,50,100,0.0126,2223,0.507177,3.15708,5.78392,4,2,5708,4604,768,248,0,1472,261,41.097217,33.148491,2.649575,0.469796,652,652,3256,2940,31744,0,1024,15360,0,0,0,1024,1,0,1,7168,17408,0,58176,8576,46720,10176,0.039372,0,0.092402,"Tesla-P100"
"39",256,0,1.6e-05,3,1,32,1,56,3,9,"lud_perimeter",10,652599,2304,1488,3,6669,4074,1356,597,144,93,711778,59179,0.009369,0.001299,0.519179,0.335303,0,0,0.335303,1.038358,14.158262,50,100,0.10627,2223,4.27753,3.15708,5.78392,4,2,4281,3453,576,186,0,1096,199,30.869524,24.898964,1.975765,0.358738,489,489,2442,2205,23808,0,768,11520,0,0,0,768,1,0,1,5376,13056,0,43632,6432,35040,7632,0.028501,0,0.085551,"Tesla-P100"
"42",256,0,1.7e-05,2,1,32,1,56,3,9,"lud_perimeter",10,641858,1536,992,2,4446,2716,904,398,96,62,680647,38789,0.006532,0.00089,0.34776,0.224595,0,0.007245,0.224595,0.69552,14.158262,50,100,0.115712,2223,4.65757,3.15708,5.78392,4,2,2854,2302,384,124,0,848,137,20.67724,16.677998,1.535941,0.248141,326,326,1628,1470,15872,0,512,7680,0,0,0,512,1,1,1,3584,8704,0,29088,4288,23360,5088,0.019319,0,0.093151,"Tesla-P100"
"45",256,0,1.6e-05,1,1,32,1,56,3,9,"lud_perimeter",10,620449,768,496,1,2223,1358,452,199,48,31,20693,19101,0.003476,0.000467,0.178546,0.115311,0,0,0.115311,0.357092,14.158262,50,100,0.003481,2223,0.140099,3.15708,5.78392,4,2,1427,1151,192,62,0,360,75,10.616054,8.562774,0.669548,0.139489,163,163,814,735,7936,0,256,3840,0,0,0,256,1,0,1,1792,4352,0,14544,2144,11680,2544,0.009993,0,0.088761,"Tesla-P100"
