256,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,7227,7252,5791,5532,2907,2774,2913,2901,3616,3627,3984,3592,4096,4544,4096,4096,262144,262144,262144,262144,258524,258536,258520,258540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262160,262164,262164,262164,4097,4096,4096,4097,3555720,0,0,4194304,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,2048,65536,2301952,3264578,88576,655360,131072,0,0,131072,2048,3484004,106889008,1024,67584,0,0,0,0,0,0,0,1048576,16384,131072,0,917504,14336,0,0,786432,131072,1053528,16384,0,0
512,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,1100930,1102635,16499,16486,8260,8245,8261,8279,548998,553778,549336,544089,16384,16384,16384,16384,2097152,2097152,2097152,2097152,1549980,1552578,1548341,1543711,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,2097170,2097168,2097168,2097168,16385,16385,16384,16384,27989264,0,0,33554432,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,8192,262144,18120704,26579136,614912,5242880,1048576,0,0,1048576,8192,27848242,880900760,4096,532480,0,0,0,0,0,0,0,8388608,65536,1048576,0,7340032,57344,0,0,6291456,1048576,9018624,65536,0,0
768,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,3822733,3844923,37199,37173,18603,18611,18619,18633,1910451,1926230,1915530,1899198,36864,36864,36864,36864,7077888,7077888,7077888,7077888,5158015,5139055,5161148,5150418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7077938,7077906,7077904,7077904,36865,36864,36869,36865,94225214,0,0,113246208,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,0,18432,589824,60825600,89334518,1972736,17694720,3538944,0,0,3538944,18432,93953880,2992554652,9216,1787904,0,0,0,0,0,0,0,28311552,147456,3538944,0,24772608,129024,0,0,21233664,3538944,30731459,147456,0,0
1024,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,10749806,10766865,65643,65651,32837,32810,32820,32825,5361361,5396271,5383016,5393077,65536,65536,65536,65536,16777216,16777216,16777216,16777216,11506949,11370585,11497838,11367351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16777264,16777232,16777236,16777232,65536,65536,65536,65537,229871182,0,0,268435456,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,0,32768,1048576,143785984,217047882,4555264,41943040,8388608,0,0,8388608,32768,229670102,7329608240,16384,4227072,0,0,0,0,0,0,0,67108864,262144,8388608,0,58720256,229376,0,0,50331648,8388608,76961159,262144,0,0
1280,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,17466504,17392504,103067,102989,51544,51456,51306,51318,8733173,8690771,8624014,8669232,102400,102400,102400,102400,32768000,32768000,32768000,32768000,23992374,24249625,24143801,24003974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768020,32768016,32768018,32768016,102404,102401,102401,102400,438374604,0,0,524288000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,0,51200,1638400,280371200,410396002,8755712,81920000,16384000,0,0,16384000,51200,437553554,13985467638,25600,8243200,0,0,0,0,0,0,0,131072000,409600,16384000,0,114688000,358400,0,0,98304000,16384000,139997875,409600,0,0
1536,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,40069112,39911682,148824,148695,74464,74347,74340,74318,20023193,20108265,20042922,20004421,147456,147456,147456,147456,56623104,56623104,56623104,56623104,36388950,36649627,36482946,36302283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,56623120,56623154,56623124,56623120,147456,147456,147460,147456,1100167990,0,0,905969664,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,0,73728,2359296,483950592,903144969,14967296,141557760,28311552,0,0,28311552,73728,1099749006,35166058706,36864,14229504,0,0,0,0,0,0,0,226492416,589824,28311552,0,198180864,516096,0,0,169869312,28311552,437023531,589910,0,0
1792,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,59239782,58511483,200963,201271,100487,100651,100666,100542,29605885,29230904,29213890,29554502,200704,200704,200704,200704,89915392,89915392,89915392,89915392,60399045,60360561,60364699,60344595,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,89915408,89915410,89915412,89915410,200704,200704,200704,200704,1212569446,0,0,1438646272,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,0,100352,3211264,767893504,1156621594,23583232,224788480,44957696,0,0,44957696,100352,1212291280,38752278424,50176,22579200,0,0,0,0,0,0,0,359661568,802816,44957696,0,314703872,702464,0,0,269746176,44957696,407029681,802817,0,0
2048,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,100787408,101683008,262314,262273,131179,131144,131145,131126,50330342,50897261,50759095,50910470,262144,262144,262144,262144,134217728,134217728,134217728,134217728,83806842,83549640,83733616,83604145,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,134217744,134217744,134217744,134217780,262144,262148,262145,262149,2071118278,0,0,2147483648,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,0,131072,4194304,1145569280,1889223866,34996736,335544320,67108864,0,0,67108864,131072,2070986868,66222934300,65536,33685504,0,0,0,0,0,0,0,536870912,1048576,67108864,0,469762048,917504,0,0,402653184,67108864,751127689,1048576,0,0
2304,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,134319144,134053294,332526,332532,166268,166248,166454,166365,67094384,67199213,66652068,66734863,331776,331776,331776,331776,191102976,191102976,191102976,191102976,124858874,123911255,124118782,124432595,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,191102994,191102994,191102994,191102994,331776,331781,331776,331780,2767230914,0,0,3057647616,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,0,165888,5308416,1630347264,2542092246,49601024,477757440,95551488,0,0,95551488,165888,2766918474,88485031046,82944,47941632,0,0,0,0,0,0,0,764411904,1327104,95551488,0,668860416,1161216,0,0,573308928,95551488,935558037,1327105,0,0
2560,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,203276687,203156810,410168,410121,205086,205060,205056,205014,101503509,101761602,100645851,101639926,409600,409600,409600,409600,262144000,262144000,262144000,262144000,160930820,161544756,161806165,161032373,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,262144016,262144018,262144018,262144020,409600,409601,409600,409601,4900613408,0,0,4194304000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,0,204800,6553600,2235596800,4069817322,67789312,655360000,131072000,0,0,131072000,204800,4900313032,156750115120,102400,65740800,0,0,0,0,0,0,0,1048576000,1638400,131072000,0,917504000,1433600,0,0,786432000,131072000,1832136419,1638464,0,0
