256,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,6675,4612,4096,5144,2048,2528,2048,2048,3332,2283,2048,2048,2048,2048,2048,2048,131072,131072,131072,131072,129024,127192,129024,129024,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,131090,131088,131088,131122,2052,2048,2048,2052,2391934,0,0,4194304,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,2048,65536,2301952,2729648,88576,655360,131072,0,0,131072,2048,2335560,71619822,1024,67584,0,0,0,0,0,0,0,524288,8192,131072,0,393216,6144,0,0,786432,131072,524633,8192,0,0
512,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,1034151,799077,16384,16384,8192,8192,8192,8192,516919,399642,506510,517432,8192,8388,8192,8360,1048576,1048576,1048576,1048576,528799,536569,525515,524153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1048594,1048592,1048592,1048596,8192,8197,8193,8193,19067192,0,0,33554432,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,8192,262144,18120704,22017523,614912,5242880,1048576,0,0,1048576,8192,19027324,600995740,4096,532480,0,0,0,0,0,0,0,4194304,32768,1048576,0,3145728,24576,0,0,6291456,1048576,4212242,32768,0,0
768,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,3568166,3558550,36864,36864,18432,18432,18432,18432,1783946,1778872,1783858,1778721,18432,18432,18432,18432,3538944,3538944,3538944,3538944,1754316,1755633,1755422,1755204,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3538960,3538960,3538964,3538960,18433,18432,18436,18437,64108816,0,0,113246208,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,0,18432,589824,60825600,74227055,1972735,17694720,3538944,0,0,3538944,18432,64037054,2036520098,9216,1787904,0,0,0,0,0,0,0,14155776,73728,3538944,0,10616832,55296,0,0,21233664,3538944,14238779,73728,0,0
1024,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,8458797,8457076,65536,65536,32768,32768,32768,32768,4229332,4228515,4228696,4229016,32768,32768,32768,32788,8388608,8388608,8388608,8388608,4159248,4160488,4159916,4159752,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8388624,8388626,8388628,8388624,32768,32768,32769,32768,153122840,0,0,268435456,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,0,32768,1048576,143785984,175785089,4555264,41943040,8388608,0,0,8388608,32768,152924538,4876402382,16384,4227072,0,0,0,0,0,0,0,33554432,131072,8388608,0,25165824,98304,0,0,50331648,8388608,33669953,131072,0,0
1280,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,16512883,16524297,102400,102400,51200,51200,51200,51200,8256308,8262491,8254115,8257817,51200,51200,51200,51200,16384000,16384000,16384000,16384000,8125721,8128242,8121205,8120100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16384018,16384016,16384016,16384020,51200,51201,51200,51201,301278014,0,0,524288000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,0,51200,1638400,280371200,343228773,8755712,81920000,16384000,0,0,16384000,51200,301185922,9614871112,25600,8243200,0,0,0,0,0,0,0,65536000,204800,16384000,0,49152000,153600,0,0,98304000,16384000,65878587,204800,0,0
1536,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,28742947,28939818,147456,147456,73728,73728,73728,73728,14371853,14474503,14453841,14435649,73728,73728,73728,73728,28311552,28311552,28311552,28311552,13863675,13849737,13926117,13919317,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,28311568,28311600,28311568,28311568,73728,73729,73728,73728,520165472,0,0,905969664,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,0,73728,2359296,483950592,593024907,14967296,141557760,28311552,0,0,28311552,73728,519884914,16611740696,36864,14229504,0,0,0,0,0,0,0,113246208,294912,28311552,0,84934656,221184,0,0,169869312,28311552,114257213,294912,0,0
1792,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,46196698,46154586,200704,200704,100352,100352,100352,100352,23098232,23077771,23090970,23147797,100352,100352,100352,100352,44957696,44957696,44957696,44957696,21820081,21821737,21841116,21819493,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,44957712,44957744,44957712,44957712,100352,100353,100352,100352,821846934,0,0,1438646272,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,0,100352,3211264,767893504,940844737,23583230,224788480,44957696,0,0,44957696,100352,820759922,26247646566,50176,22579200,0,0,0,0,0,0,0,179830784,401408,44957696,0,134873088,301056,0,0,269746176,44957696,180893861,401408,0,0
2048,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,69785691,69907190,262144,262144,131072,131072,131072,131072,34895221,34949447,34832835,34875696,131072,131072,131072,131072,67108864,67108864,67108864,67108864,32150299,32108694,32198386,32192748,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,67108880,67108914,67108882,67108880,131072,131072,131072,131076,1214902416,0,0,2147483648,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,0,131072,4194304,1145569280,1404332864,34996736,335544320,67108864,0,0,67108864,131072,1214715243,38833700148,65536,33685504,0,0,0,0,0,0,0,268435456,524288,67108864,0,201326592,393216,0,0,402653184,67108864,270323175,524288,0,0
2304,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,98958859,99305898,331776,331776,165888,165888,165888,165888,49478399,49653575,49642635,49693634,165888,165888,165888,165888,95551488,95551488,95551488,95551488,45955171,45751147,45704898,45811888,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,95551504,95551506,95551504,95551504,165888,165892,165888,165892,1786657982,0,0,3057647616,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,0,165888,5308416,1630347264,2000322824,49601023,477757440,95551488,0,0,95551488,165888,1786539630,57119892888,82944,47941632,0,0,0,0,0,0,0,382205952,663552,95551488,0,286654464,497664,0,0,573308928,95551488,386098621,663552,0,0
2560,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,138091930,138069848,409600,409600,204800,204800,204800,204800,69044345,69041964,69200980,69828401,204800,204800,204800,204800,131072000,131072000,131072000,131072000,62027839,61937422,62093097,62015833,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,131072016,131072016,131072016,131072016,204804,204800,204801,204805,2465273826,0,0,4194304000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,0,204800,6553600,2235596800,2747287818,67789311,655360000,131072000,0,0,131072000,204800,2465074276,78825192496,102400,65740800,0,0,0,0,0,0,0,524288000,819200,131072000,0,393216000,614400,0,0,786432000,131072000,532025599,819200,0,0
2816,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,187177887,187492733,495616,495616,247808,247808,247808,247808,93596507,93740460,93290642,93479453,247808,247808,247808,247808,174456832,174456832,174456832,174456832,80477997,80867579,80587464,80376865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,174456848,174456848,174456848,174456850,247812,247812,247813,247812,3279857392,0,0,5582618624,0,0,0,0,7929856,0,0,0,0,0,0,0,0,0,0,0,247808,7929856,2974687232,3655686149,89954815,872284160,174456832,0,0,174456832,247808,3279724810,104889656594,123904,87476224,0,0,0,0,0,0,0,697827328,991232,174456832,0,523370496,743424,0,0,1046740992,174456832,708667830,991232,0,0
3072,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,246883977,247057587,589824,589824,294912,294912,294912,294912,123438329,123547591,123964467,123714483,294912,294912,294912,294912,226492416,226492416,226492416,226492416,102824932,106434265,102879981,102966060,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,226492436,226492432,226492432,226492432,294912,294912,294912,294912,4245664742,0,0,7247757312,0,0,0,0,9437184,0,0,0,0,0,0,0,0,0,0,0,294912,9437184,3860987904,4746037793,116490752,1132462080,226492416,0,0,226492416,294912,4245440016,135780503730,147456,113541120,0,0,0,0,0,0,0,905969664,1179648,226492416,0,679477248,884736,0,0,1358954496,226492416,921177291,1179648,0,0
3328,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,318363385,319208730,692224,692224,346112,346112,346112,346112,159176660,159609643,159713225,159644900,346112,346112,346112,346112,287965184,287965184,287965184,287965184,128675920,128474798,128029391,128174334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,287965204,287965202,287965200,287965202,346117,346116,346113,346112,5524848128,0,0,9214885888,0,0,0,0,11075584,0,0,0,0,0,0,0,0,0,0,0,346112,11075584,4907868160,6042364611,147790336,1439825920,287965184,0,0,287965184,346112,5524633902,176709118508,173056,144328704,0,0,0,0,0,0,0,1151860736,1384448,287965184,0,863895552,1038336,0,0,1727791104,287965184,1176390883,1384448,0,0
