131072,"GeForce GTX 680 (1)","1","7","dotProd(float*, float*, float*, int)",0,0,0,0,0,0,0,0,16391,16400,215,195,107,104,122,105,8196,8203,8192,8192,512,512,512,512,8192,8192,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,8208,8210,8210,8208,517,513,516,517,280770,0,0,262144,0,0,0,0,2048,0,0,0,0,0,0,0,0,0,0,0,4096,131072,485376,285439,107546,51200,28672,0,0,8192,2048,252820,7381350,2048,47862,0,0,0,0,0,0,0,8192,2048,0,0,0,0,0,0,51200,28672,8192,2048,0,0
262144,"GeForce GTX 680 (1)","1","7","dotProd(float*, float*, float*, int)",0,0,0,0,0,0,0,0,32775,32768,439,410,222,201,235,227,16388,16387,16384,16384,1024,1024,1024,1024,16384,16384,16384,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16402,16402,16404,16400,1028,1024,1028,1029,524164,0,0,524288,0,0,0,0,4096,0,0,0,0,0,0,0,0,0,0,0,8192,262144,970752,570109,215154,102400,57344,0,0,16384,4096,496990,14569414,4096,96511,0,0,0,0,0,0,0,16384,4096,0,0,0,0,0,0,102400,57344,16384,4096,0,0
524288,"GeForce GTX 680 (1)","1","7","dotProd(float*, float*, float*, int)",0,0,0,0,0,0,0,0,65543,65536,935,882,498,438,414,439,32772,32771,32768,32768,2048,2048,2048,2048,32768,32768,32768,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,32786,32784,32784,32816,2048,2049,2053,2048,1013490,0,0,1048576,0,0,0,0,8192,0,0,0,0,0,0,0,0,0,0,0,16384,524288,1941504,1139447,429602,204800,114688,0,0,32768,8192,985160,29083870,8192,192312,0,0,0,0,0,0,0,32768,8192,0,0,0,0,0,0,204800,114688,32768,8192,0,0
1048576,"GeForce GTX 680 (1)","1","7","dotProd(float*, float*, float*, int)",0,0,0,0,0,0,0,0,131095,131088,1819,1723,939,863,899,904,65548,65547,65536,65536,4096,4096,4096,4096,65536,65536,65536,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,65554,65588,65552,65556,4097,4096,4096,4097,1993156,0,0,2097152,0,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,32768,1048576,3883008,2278129,857054,409600,229376,0,0,65536,16384,1965866,58256344,16384,381587,0,0,0,0,0,0,0,65536,16384,0,0,0,0,0,0,409600,229376,65536,16384,0,0
2097152,"GeForce GTX 680 (1)","1","7","dotProd(float*, float*, float*, int)",0,0,0,0,0,0,0,0,262151,262144,3661,3421,1905,1719,1930,1792,131076,131075,131072,131072,8192,8192,8192,8192,131072,131072,131072,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,131090,131090,131088,131088,8193,8192,8192,8192,3926426,0,0,4194304,0,0,0,0,32768,0,0,0,0,0,0,0,0,0,0,0,65536,2097152,7766016,4555528,1716617,819200,458752,0,0,131072,32768,3897600,115578122,32768,767429,0,0,0,0,0,0,0,131072,32768,0,0,0,0,0,0,819200,458752,131072,32768,0,0
4194304,"GeForce GTX 680 (1)","1","7","dotProd(float*, float*, float*, int)",0,0,0,0,0,0,0,0,524295,524288,7256,6813,3744,3455,3517,3363,262148,262147,262144,262152,16384,16384,16384,16384,262144,262144,262144,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,262160,262164,262160,262160,16385,16389,16385,16384,7812218,0,0,8388608,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,131072,4194304,15532032,9110348,3436152,1638400,917504,0,0,262144,65536,7784142,231093418,65536,1535733,0,0,0,0,0,0,0,262144,65536,0,0,0,0,0,0,1638400,917505,262144,65536,0,0
8388608,"GeForce GTX 680 (1)","1","7","dotProd(float*, float*, float*, int)",0,0,0,0,0,0,0,0,1048599,1048576,14572,14242,7334,7133,6761,7119,524300,524291,524288,524288,32768,32768,32768,32768,524288,524288,524288,524288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,524304,524306,524304,524308,32768,32768,32772,32768,15630594,0,0,16777216,0,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,262144,8388608,31064064,18219757,6860030,3276800,1835008,0,0,524288,131072,15602920,463550010,131072,3064116,0,0,0,0,0,0,0,524288,131072,0,0,0,0,0,0,3276800,1835008,524288,131072,0,0
12582912,"GeForce GTX 680 (1)","1","7","dotProd(float*, float*, float*, int)",0,0,0,0,0,0,0,0,1572871,1572864,20994,21450,10521,10835,10822,10113,786436,786435,786432,786432,49152,49152,49152,49152,786432,786432,786432,786432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786452,786448,786452,786452,49152,49152,49153,49153,23245064,0,0,25165824,0,0,0,0,196608,0,0,0,0,0,0,0,0,0,0,0,393216,12582912,46596096,27329273,10327920,4915200,2752512,0,0,786432,196608,23216206,690165772,196608,4624855,0,0,0,0,0,0,0,786432,196608,0,0,0,0,0,0,4915200,2752512,786432,196608,0,0
16777216,"GeForce GTX 680 (1)","1","7","dotProd(float*, float*, float*, int)",0,0,0,0,0,0,0,0,2097159,2097152,27499,21576,13687,10747,10818,12804,1048580,1048579,1048584,1048576,65536,65536,65536,65536,1048576,1048576,1048576,1048576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1048592,1048592,1048596,1048596,65540,65537,65536,65537,31078140,0,0,33554432,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,524288,16777216,62128128,36438790,13737647,6553600,3670016,0,0,1048576,262144,31050436,922651070,262144,6164159,0,0,0,0,0,0,0,1048576,262144,0,0,0,0,0,0,6553600,3670016,1048576,262144,0,0
20971520,"GeForce GTX 680 (1)","1","7","dotProd(float*, float*, float*, int)",0,0,0,0,0,0,0,0,2621447,2621440,27401,27509,13680,13724,13646,13621,1310724,1310723,1310720,1310728,81920,81920,81920,81920,1310720,1310720,1310720,1310720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310740,1310736,1310738,1310738,81921,81920,81920,81921,38561472,0,0,41943040,0,0,0,0,327680,0,0,0,0,0,0,0,0,0,0,0,655360,20971520,77660160,45548362,17213034,8192000,4587520,0,0,1310720,327680,38532856,1146040514,327680,7711244,0,0,0,0,0,0,0,1310720,327680,0,0,0,0,0,0,8192000,4587520,1310720,327680,0,0
